,index,variable,value
18,18,diff(log(adjClose)),1.0520406e-06
58,58,diff(LINEARREG_ANGLE),1.5164431e-06
15,15,diff(log(high)),1.612411e-06
59,59,diff(LINEARREG_INTERCEPT),1.6177929e-06
24,24,CORREL,1.6948705e-06
50,50,diff(ULTOSC),1.7031598e-06
13,13,diff(vwap),1.7521562e-06
8,8,diff(high),1.7929283e-06
9,9,diff(low),1.8218034e-06
44,44,diff(PLUS_DI),1.8284129e-06
34,34,diff(WMA),1.8574526e-06
49,49,diff(RSI),2.056695e-06
64,64,diff(ADOSC),2.0910986e-06
56,56,diff(BETA),2.1141934e-06
17,17,diff(log(close)),2.196735e-06
41,41,diff(MINUS_DI),2.197162e-06
25,25,LINEARREG_SLOPE,2.2348925e-06
63,63,diff(AD),2.3175992e-06
2,2,pct_change(low),2.3254722e-06
7,7,diff(open),2.3374032e-06
42,42,diff(MINUS_DM),2.3386272e-06
57,57,diff(LINEARREG),2.5123322e-06
47,47,diff(ROCP),2.6808332e-06
21,21,APO,2.768856e-06
4,4,pct_change(adjClose),2.7882327e-06
36,36,diff(HT_DCPHASE),2.7898118e-06
10,10,diff(close),2.8394477e-06
1,1,pct_change(high),3.0046047e-06
35,35,diff(HT_DCPERIOD),3.1077582e-06
51,51,diff(WILLR),3.1129975e-06
52,52,diff(AVGPRICE),3.1878544e-06
67,67,diff(diff(SMA)),3.267282e-06
16,16,diff(log(low)),3.534546e-06
3,3,pct_change(close),3.5992325e-06
65,65,diff(OBV),3.6055671e-06
14,14,diff(log(open)),3.616641e-06
70,70,diff(diff(diff(T3))),3.7482603e-06
19,19,diff(log(volume)),3.7649775e-06
39,39,diff(DX),3.7852767e-06
53,53,diff(MEDPRICE),3.9591537e-06
55,55,diff(WCLPRICE),4.023054e-06
38,38,diff(CMO),4.0747004e-06
68,68,diff(diff(ADX)),4.281874e-06
33,33,diff(TRIMA),4.4517847e-06
20,20,diff(log(vwap)),4.494803e-06
66,66,diff(diff(HT_TRENDLINE)),4.5140755e-06
0,0,pct_change(open),4.6243194e-06
28,28,diff(DEMA),4.7117956e-06
61,61,diff(NATR),4.725536e-06
6,6,pct_change(vwap),4.8622906e-06
45,45,diff(PLUS_DM),4.8791817e-06
11,11,diff(adjClose),4.8982865e-06
62,62,diff(TRANGE),4.9274604e-06
22,22,BOP,5.3070894e-06
40,40,diff(MFI),5.4135735e-06
37,37,diff(CCI),5.5243067e-06
46,46,diff(ROC),5.928602e-06
32,32,diff(TEMA),5.9344775e-06
43,43,diff(MOM),6.1602477e-06
48,48,diff(ROCR),6.244899e-06
54,54,diff(TYPPRICE),7.1545855e-06
5,5,pct_change(volume),7.340936e-06
69,69,diff(diff(ADXR)),7.4490586e-06
23,23,PPO,8.259503e-06
30,30,diff(KAMA),8.3544555e-06
71,71,diff(diff(diff(TRIX))),8.3817085e-06
26,26,STDDEV,9.337032e-06
12,12,diff(volume),1.027928e-05
31,31,diff(MA),1.2231329e-05
60,60,diff(ATR),1.43990055e-05
29,29,diff(EMA),1.6650147e-05
27,27,VAR,2.0720783e-05
